Source,Target,Type,Weight
Natalie_Page,JimmyXJames,undirected,19836.266666666666
Natalie_Page,CaseyCorliss,undirected,19823.6
LaughingRedhead,HoustonPubMedia,undirected,19947.583333333332
LaughingRedhead,MichaelHenrich,undirected,39879.36666666667
LaughingRedhead,KateManning10,undirected,39637.4
AprilTheSocialM,therunawaymama,undirected,19959.15
AprilTheSocialM,ncchrisp,undirected,19934.666666666668
AprilTheSocialM,LaughItOff,undirected,19905.15
AprilTheSocialM,CaseyCorliss,undirected,19833.316666666666
Frambozen,GypsyRoseKnows,undirected,19980.966666666667
Frambozen,bck27,undirected,19974.5
Frambozen,TheExpGourmand,undirected,19940.15
Frambozen,cbs11doug,undirected,19904.1
Frambozen,MariettaPosts,undirected,39803.1
Frambozen,danadanewfame,undirected,19894.35
Frambozen,JimmyXJames,undirected,19851.233333333334
MrDVillanueva,NJPoisonCenter,undirected,19989.3
MrDVillanueva,romainelettuc10,undirected,19964.333333333332
MrDVillanueva,Data_Dreamer,undirected,19960.416666666668
MrDVillanueva,KBow5,undirected,19956.466666666667
MrDVillanueva,PoojaOnTV,undirected,19952.95
MrDVillanueva,sportsterchic,undirected,19944.8
MrDVillanueva,mailtribune,undirected,19931.3
MrDVillanueva,topdog1209,undirected,19914.066666666666
MrDVillanueva,KVUE,undirected,19911.266666666666
MrDVillanueva,westerndigital,undirected,19878.466666666667
MrDVillanueva,TannerBeymer,undirected,39738.8
MrDVillanueva,SpencerRicks,undirected,39702.53333333333
MrDVillanueva,WxManAJB,undirected,19848.416666666668
NJPoisonCenter,romainelettuc10,undirected,19975.033333333333
NJPoisonCenter,Data_Dreamer,undirected,19971.116666666665
NJPoisonCenter,KBow5,undirected,19967.166666666668
NJPoisonCenter,PoojaOnTV,undirected,19963.65
NJPoisonCenter,mailtribune,undirected,19942.0
NJPoisonCenter,topdog1209,undirected,19924.766666666666
NJPoisonCenter,KVUE,undirected,19921.966666666667
NJPoisonCenter,westerndigital,undirected,19889.166666666668
NJPoisonCenter,TannerBeymer,undirected,19880.1
NJPoisonCenter,JimmyXJames,undirected,19910.9
NJPoisonCenter,SpencerRicks,undirected,19861.966666666667
NJPoisonCenter,WxManAJB,undirected,19859.116666666665
GypsyRoseKnows,bck27,undirected,19993.533333333333
GypsyRoseKnows,TheExpGourmand,undirected,19959.183333333334
GypsyRoseKnows,cbs11doug,undirected,19923.133333333335
GypsyRoseKnows,MariettaPosts,undirected,19920.583333333332
GypsyRoseKnows,danadanewfame,undirected,19913.383333333335
GypsyRoseKnows,JimmyXJames,undirected,19870.266666666666
Bchamcharatsri,MigTorres314,undirected,19873.4
bck27,TheExpGourmand,undirected,19965.65
bck27,cbs11doug,undirected,19929.6
bck27,MariettaPosts,undirected,19927.05
bck27,danadanewfame,undirected,19919.85
bck27,JimmyXJames,undirected,19876.733333333334
therunawaymama,TheExpGourmand,undirected,19975.75
therunawaymama,ncchrisp,undirected,39951.03333333333
therunawaymama,LaughItOff,undirected,19946.0
therunawaymama,danadanewfame,undirected,19929.95
therunawaymama,CaseyCorliss,undirected,39748.333333333336
romainelettuc10,Data_Dreamer,undirected,19996.083333333332
romainelettuc10,KBow5,undirected,19992.133333333335
romainelettuc10,PoojaOnTV,undirected,19988.616666666665
romainelettuc10,mailtribune,undirected,19966.966666666667
romainelettuc10,topdog1209,undirected,19949.733333333334
romainelettuc10,KVUE,undirected,19946.933333333334
romainelettuc10,westerndigital,undirected,19914.133333333335
romainelettuc10,TannerBeymer,undirected,19905.066666666666
romainelettuc10,SpencerRicks,undirected,19886.933333333334
romainelettuc10,WxManAJB,undirected,19884.083333333332
HoustonPubMedia,MichaelHenrich,undirected,19992.1
HoustonPubMedia,KateManning10,undirected,19871.116666666665
Data_Dreamer,KBow5,undirected,19996.05
Data_Dreamer,PoojaOnTV,undirected,19992.533333333333
Data_Dreamer,mailtribune,undirected,19970.883333333335
Data_Dreamer,topdog1209,undirected,19953.65
Data_Dreamer,KVUE,undirected,19950.85
Data_Dreamer,westerndigital,undirected,19918.05
Data_Dreamer,TannerBeymer,undirected,19908.983333333334
Data_Dreamer,SpencerRicks,undirected,19890.85
Data_Dreamer,WxManAJB,undirected,19888.0
KBow5,PoojaOnTV,undirected,19996.483333333334
KBow5,mailtribune,undirected,19974.833333333332
KBow5,topdog1209,undirected,19957.6
KBow5,KVUE,undirected,19954.8
KBow5,westerndigital,undirected,19922.0
KBow5,TannerBeymer,undirected,19912.933333333334
KBow5,SpencerRicks,undirected,19894.8
KBow5,WxManAJB,undirected,19891.95
MichaelHenrich,KateManning10,undirected,39758.03333333333
PoojaOnTV,mailtribune,undirected,19978.35
PoojaOnTV,topdog1209,undirected,19961.116666666665
PoojaOnTV,KVUE,undirected,19958.316666666666
PoojaOnTV,westerndigital,undirected,19925.516666666666
PoojaOnTV,TannerBeymer,undirected,19916.45
PoojaOnTV,SpencerRicks,undirected,19898.316666666666
PoojaOnTV,WxManAJB,undirected,19895.466666666667
sportsterchic,TannerBeymer,undirected,19924.6
sportsterchic,SpencerRicks,undirected,19906.466666666667
TheExpGourmand,ncchrisp,undirected,19999.766666666666
TheExpGourmand,cbs11doug,undirected,19963.95
TheExpGourmand,MariettaPosts,undirected,19961.4
TheExpGourmand,danadanewfame,undirected,39908.4
TheExpGourmand,JimmyXJames,undirected,19911.083333333332
TheExpGourmand,CaseyCorliss,undirected,19898.416666666668
ncchrisp,LaughItOff,undirected,19970.483333333334
ncchrisp,danadanewfame,undirected,19954.433333333334
ncchrisp,CaseyCorliss,undirected,39797.3
mailtribune,topdog1209,undirected,19982.766666666666
mailtribune,KVUE,undirected,19979.966666666667
mailtribune,westerndigital,undirected,19947.166666666668
mailtribune,TannerBeymer,undirected,19938.1
mailtribune,SpencerRicks,undirected,19919.966666666667
mailtribune,WxManAJB,undirected,19917.116666666665
topdog1209,KVUE,undirected,19997.2
topdog1209,westerndigital,undirected,19964.4
topdog1209,TannerBeymer,undirected,19955.333333333332
topdog1209,SpencerRicks,undirected,19937.2
topdog1209,WxManAJB,undirected,19934.35
LaughItOff,CaseyCorliss,undirected,19928.166666666668
KVUE,westerndigital,undirected,19967.2
KVUE,TannerBeymer,undirected,19958.133333333335
KVUE,SpencerRicks,undirected,19940.0
KVUE,WxManAJB,undirected,19937.15
cbs11doug,MariettaPosts,undirected,19997.45
cbs11doug,danadanewfame,undirected,19990.25
cbs11doug,JimmyXJames,undirected,19947.133333333335
MariettaPosts,danadanewfame,undirected,19992.8
MariettaPosts,JimmyXJames,undirected,19949.683333333334
danadanewfame,JimmyXJames,undirected,19956.883333333335
danadanewfame,CaseyCorliss,undirected,19944.216666666667
westerndigital,TannerBeymer,undirected,19990.933333333334
westerndigital,SpencerRicks,undirected,19972.8
westerndigital,WxManAJB,undirected,19969.95
TannerBeymer,SpencerRicks,undirected,39963.73333333333
TannerBeymer,WxManAJB,undirected,19979.016666666666
SpencerRicks,WxManAJB,undirected,19997.15
